ANO,REGIAO,UF,MUNICIPIO,AREA,DEPENDENCIA_ADM,LOCALIZACAO,NOTA_LP,NOTA_MT,SEXO,RACA_COR,IDADE,COMPUTADOR,MORA_MÃE,MORA_PAI,REUNIÕES_ESCOLARES,USO_TEMPO_TELAS,AFAZERES_DOM,BIBLIOTECA
2017,4,41,4111258,2,3,2,227.540395,222.385597,B,A,C,B,B,A,A,B,B,B
2017,3,35,3507001,2,3,1,258.564734,208.264009,B, ,D,B,A,B,A,A,B,C
2017,5,52,5218805,2,3,1,242.385907,294.646161,B,C,C,B,C,C,A,E,E,C
2017,3,35,3549805,2,3,1,323.908438,279.776566,B,A,D,A,A,B,A,C,A,B
2017,1,15,1501402,1,2,1,184.768222,177.69303,A, ,D,A,A,A,A,C,A,B
2017,2,24,2402501,2,3,2,204.748766,179.938784,B,A,C,C,A,C,A,C,E,A
2017,5,53,5300108,1,2,1,208.28835,200.087353,B,A,D,B,A,B,C,B,D,B
2017,1,15,1507953,2,3,1,113.634592,151.802474,A,C,E,A,A,A,C,C,B,A
2017,5,50,5003801,2,2,1,246.620769,223.989651,B,C,D,C,B,B,A,B,B,A
2017,3,31,3170206,2,3,1,183.387637,146.019015,A, ,D,B,A,A,B,D,A,B
2017,3,31,3106200,1,3,1,331.154592,327.085621,B,A,D,B,A,A,A,D,B,A
2017,4,43,6310391,1,3,1,246.494054,228.910524,B,A,D,B,A,A,C,A,A,B
2017,3,35,3553906,2,3,1,211.496491,199.724891,B,F,C,D,A,A,A,B,C,B
2017,3,35,3550308,1,3,1,206.294411,215.805897,A,C,C,B,A,A,C,A,E,B
2017,2,28,2806206,2,3,2,155.770767,161.053772,B,B,H,A,A,A,A,E,A,C
2017,3,31,3107307,2,2,1,129.657615,183.641427,A,C, ,A,B,A,B, , ,A
2017,5,52,5204508,2,3,1,205.20516,154.690263,B,C,C,A,A,A,A,A,A,C
2017,3,31,3143104,2,3,1,261.705827,229.913064,B,C,C,A,A,A,A,E,D,B
2017,4,43,4309209,2,3,1,212.232484,221.168765,B,A,D,A,A,A,A,C,C,B
2017,3,31,3127008,2,3,1,179.63633,172.680103,A,F,E,C,A,A, ,D,E,B
2017,3,33,3304557,1,3,1,202.69417,285.964182,A,F,C,A,A,A,B,D,E,B
2017,3,35,3513009,2,3,1,205.280307,168.068092,A,C,E,B,A,B,A,D,B,C
2017,1,15,1505502,2,3,1,270.846037,287.771684,B,C,D,A,A,C,A,D,E,A
2017,3,33,3304201,2,3,1,141.871979,152.189025,A,F,F,D,A,A,A,D,D,A
2017,4,41,4107553,2,3,1,245.210103,228.519054,A,F,C,B,A,A,A,D,A,A
2017,3,33,3304557,1,3,1,142.254327,211.023022,A,C,D,A,A,A,A,B,A,B
2017,3,33,3301702,2,3,1,180.432264,180.625868,A,C,D,A,A, ,B,A,E,C
2017,1,13,1302603,1,2,1,251.967194,243.282565,A,C,D,C,A,A,A,B,A,C
2017,3,33,3304557,1,3,1,302.054388,264.7365,B,C,C,B,A,A,A,B,B,B
2017,3,32,3202405,2,3,1,279.761851,263.181519,B,A,C,E,A,A,A,C,D,A
2017,2,21,2105153,2,3,1,198.929365,162.239416,A, ,C,A,A,B,C,A,D,A
2017,3,35,3540002,2,3,1,296.652098,339.325203,A,C,C,C,A,A,A,C,E,B
2017,3,35,3543709,2,3,1,280.347658,252.885538,A,B,D,E,A,C,A,B,A,B
2017,2,21,2111201,2,3,2,199.473522,193.700928,B,C,C,A,A,B,A,A,D,B
2017,1,15,1507003,2,3,1,207.152875,171.350648,A,F,C,A,A,C,C,B,A,B
2017,1,12,1200393,2,3,1,152.728071,127.30537,B,F,C,A,A,A,A,A, ,C
2017,3,35,3550308,1,2,1,201.342895,241.973846,A,A,D,B,A,B,B,A,A,B
2017,3,31,3152402,2,3,1,152.842059,155.532728,A,B,D,A,A,B,B,E, ,B
2017,3,35,3556503,2,3,1,197.589604,161.951068,A,E,D,C,A,A,A,D,C,B
2017,3,31,3113404,2,2,1,211.529547,271.491199,A,C,C,B,A,A, ,D, ,C
2017,4,42,4205407,1,2,1,202.757252,200.739672,B,B,C,C,A,B,A,A,B,B
2017,1,15,1506138,2,3,2,98.738779,167.65555,A,C,F,A,B,A,A,C,B,C
2017,5,52,5221403,2,3,1,239.084327,218.728618,B,C,C,A,A,B,A,A,D,C
2017,1,17,1702554,2,3,1,188.212383,182.955237,A,A,D,B,A,B,B,B,D,A
2017,2,25,2510808,2,3,1,172.287096,194.444911,B,F,D,A,A,A,A,A,B,C
2017,4,41,4119301,2,3,1,180.73109,165.451269,A,A,D,B,A,A,A,D,C,A
2017,3,35,3516408,2,3,1,244.269605,232.302797,A,A,C,B,A,A,A,B,B,C
2017,3,35,3552205,2,2,1,238.9856,279.498949,B,C,D,B,A,A,B,B,E,A
2017,1,17,1718808,2,3,1,131.028558,177.786929,B,D,E,A,A,B,A,A,A,B
2017,3,35,3530003,2,3,1,186.485592,271.691126,B,A,D,A,A,A,A,B,B,B
2017,1,11,1100320,2,3,1,134.59117,137.588552,A, ,D, ,A,B,C,A,D,B
2017,4,41,4102901,2,3,1,246.262387,296.408558,A,A,C,C,A,A,A,B,B,B
2017,3,33,3304557,1,3,1,151.095324,175.918337,B,B,D,D,A,A,A,A,E,B
2017,3,32,3203130,2,3,1,260.81012,223.600361,B,C,F,A,A,B,B,B,E,B
